person,extraversion,neuroticism,agreeableness,conscientiousness,openness
C_43,solitary and reserved,sensitive and nervous,critical and rational,extravagant and careless,consistent and cautious
C_44,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_45,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,consistent and cautious
C_46,solitary and reserved,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_47,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,inventive and curious
C_48,outgoing and energetic,sensitive and nervous,critical and rational,extravagant and careless,consistent and cautious
C_49,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,inventive and curious
C_50,outgoing and energetic,sensitive and nervous,critical and rational,extravagant and careless,consistent and cautious
C_51,solitary and reserved,resilient and confident,critical and rational,extravagant and careless,inventive and curious
C_52,solitary and reserved,sensitive and nervous,friendly and compassionate,extravagant and careless,inventive and curious
C_53,outgoing and energetic,sensitive and nervous,critical and rational,efficient and organized,consistent and cautious
C_54,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_55,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_56,solitary and reserved,resilient and confident,critical and rational,efficient and organized,inventive and curious
C_57,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,consistent and cautious
C_58,outgoing and energetic,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_59,solitary and reserved,resilient and confident,critical and rational,extravagant and careless,inventive and curious
C_60,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,inventive and curious
C_61,solitary and reserved,sensitive and nervous,friendly and compassionate,efficient and organized,inventive and curious
C_62,solitary and reserved,resilient and confident,critical and rational,extravagant and careless,consistent and cautious
C_63,solitary and reserved,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_64,solitary and reserved,resilient and confident,critical and rational,extravagant and careless,consistent and cautious
C_65,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,consistent and cautious
C_66,outgoing and energetic,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_67,solitary and reserved,resilient and confident,critical and rational,extravagant and careless,inventive and curious
C_68,outgoing and energetic,sensitive and nervous,critical and rational,extravagant and careless,inventive and curious
C_69,solitary and reserved,resilient and confident,critical and rational,efficient and organized,consistent and cautious
C_70,outgoing and energetic,resilient and confident,friendly and compassionate,extravagant and careless,consistent and cautious
C_71,solitary and reserved,resilient and confident,friendly and compassionate,efficient and organized,consistent and cautious
C_72,solitary and reserved,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_73,outgoing and energetic,sensitive and nervous,friendly and compassionate,extravagant and careless,inventive and curious
C_74,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_75,solitary and reserved,sensitive and nervous,critical and rational,extravagant and careless,consistent and cautious
C_76,solitary and reserved,resilient and confident,critical and rational,efficient and organized,consistent and cautious
C_77,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_78,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,inventive and curious
C_79,outgoing and energetic,resilient and confident,critical and rational,efficient and organized,consistent and cautious
C_80,solitary and reserved,resilient and confident,critical and rational,extravagant and careless,consistent and cautious
C_81,solitary and reserved,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_82,solitary and reserved,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_83,outgoing and energetic,sensitive and nervous,friendly and compassionate,extravagant and careless,consistent and cautious
C_84,solitary and reserved,sensitive and nervous,friendly and compassionate,extravagant and careless,consistent and cautious
C_85,outgoing and energetic,sensitive and nervous,friendly and compassionate,extravagant and careless,consistent and cautious
C_86,solitary and reserved,resilient and confident,critical and rational,extravagant and careless,consistent and cautious
C_87,outgoing and energetic,resilient and confident,friendly and compassionate,extravagant and careless,consistent and cautious
C_88,outgoing and energetic,sensitive and nervous,critical and rational,extravagant and careless,consistent and cautious
C_89,solitary and reserved,sensitive and nervous,friendly and compassionate,efficient and organized,consistent and cautious
C_90,solitary and reserved,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_91,solitary and reserved,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_92,outgoing and energetic,sensitive and nervous,critical and rational,efficient and organized,consistent and cautious
C_93,solitary and reserved,sensitive and nervous,friendly and compassionate,extravagant and careless,inventive and curious
C_94,solitary and reserved,resilient and confident,critical and rational,efficient and organized,consistent and cautious
C_95,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_96,outgoing and energetic,resilient and confident,critical and rational,extravagant and careless,consistent and cautious
C_97,solitary and reserved,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_98,solitary and reserved,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_99,solitary and reserved,sensitive and nervous,critical and rational,extravagant and careless,consistent and cautious
C_100,solitary and reserved,sensitive and nervous,critical and rational,extravagant and careless,inventive and curious
C_101,solitary and reserved,sensitive and nervous,critical and rational,extravagant and careless,inventive and curious
